title,score,comments,created_utc,date,clean_title,compound,sentiment
Cloudflare Turnstile requiring fingerprintable WebGL,342,191,1780236800,2026-05-31 14:13:20,cloudflare turnstile requiring fingerprintable webgl,0.0,neutral
1-Bit Bonsai Image 4B Image Generation for Local Devices,178,63,1780239892,2026-05-31 15:04:52,bit bonsai image b image generation for local devices,0.0,neutral
Creatine raise brain energy levels and slow Alzheimer's cognitive decline by 30%,320,231,1780244374,2026-05-31 16:19:34,creatine raise brain energy levels and slow alzheimers cognitive decline by,0.3182,positive
Dav2d,353,120,1780227885,2026-05-31 11:44:45,davd,0.0,neutral
The Speed of Prototyping in the Age of AI,63,41,1780245454,2026-05-31 16:37:34,the speed of prototyping in the age of ai,0.0,neutral
"Codex just found a ""workaround"" of not having sudo on my PC",114,39,1780253868,2026-05-31 18:57:48,codex just found a workaround of not having sudo on my pc,0.0,neutral
United Airlines 767 returns to Newark after Bluetooth name sparks alert,160,240,1780231279,2026-05-31 12:41:19,united airlines returns to newark after bluetooth name sparks alert,0.6124,positive
"What if remote working, not AI, is to blame for weak junior hiring?",13,7,1780077011,2026-05-29 17:50:11,what if remote working not ai is to blame for weak junior hiring,-0.6486,negative
"Re: [PATCH] OOM_pardon, a.k.a. don't kill my xlock",30,21,1780250295,2026-05-31 17:58:15,re patch oompardon aka dont kill my xlock,0.5773,positive
Restartable Sequences,123,31,1780238328,2026-05-31 14:38:48,restartable sequences,0.0,neutral
Linux/M68k,23,6,1780055212,2026-05-29 11:46:52,linuxmk,0.0,neutral
"Show HN: Streambed – Stream Postgres to Iceberg on S3, Supports Postgres Wire",16,0,1780252985,2026-05-31 18:43:05,show hn streambed stream postgres to iceberg on s supports postgres wire,0.3612,positive
London's Free Roof Terraces,238,128,1780211778,2026-05-31 07:16:18,londons free roof terraces,0.5106,positive
The Website Specification,386,167,1780211390,2026-05-31 07:09:50,the website specification,0.0,neutral
Having your insulin pump die while you're on vacation,92,107,1779993234,2026-05-28 18:33:54,having your insulin pump die while youre on vacation,-0.5994,negative
'Backrooms' Stuns with $81M Debut,23,2,1780255664,2026-05-31 19:27:44,backrooms stuns with m debut,0.0258,neutral
Deflock hits 100k ALPRs Mapped in USA,93,24,1780247050,2026-05-31 17:04:10,deflock hits k alprs mapped in usa,0.0,neutral
Backpressure is all you need,92,69,1780229487,2026-05-31 12:11:27,backpressure is all you need,0.0,neutral
"Daily pill can double survival time for deadliest cancer, trial shows",110,21,1780242209,2026-05-31 15:43:29,daily pill can double survival time for deadliest cancer trial shows,-0.6597,negative
Steam Deck sells out in North America within 24 hours of price hike,26,7,1780254694,2026-05-31 19:11:34,steam deck sells out in north america within hours of price hike,0.0,neutral
FROST: Fingerprinting Remotely using OPFS-based SSD Timing [pdf],31,13,1780236636,2026-05-31 14:10:36,frost fingerprinting remotely using opfsbased ssd timing pdf,0.0,neutral
Security Envelope Pattern collection – S.E.C.R.E.T,76,9,1780048153,2026-05-29 09:49:13,security envelope pattern collection secret,0.34,positive
Websites have a new way to spy on visitors: analyzing their SSD activity,42,13,1779978721,2026-05-28 14:32:01,websites have a new way to spy on visitors analyzing their ssd activity,0.0,neutral
I put a datacenter GPU in my gaming PC,219,143,1780235596,2026-05-31 13:53:16,i put a datacenter gpu in my gaming pc,0.0,neutral
Show HN: Atomic Editor – Obsidian-style live preview for CodeMirror 6,40,11,1780230774,2026-05-31 12:32:54,show hn atomic editor obsidianstyle live preview for codemirror,0.0,neutral
You weren't meant to have a boss (2008),95,99,1780231743,2026-05-31 12:49:03,you werent meant to have a boss,0.0,neutral
A Gentle Introduction to Lattice-Based Cryptography [pdf],155,16,1780024939,2026-05-29 03:22:19,a gentle introduction to latticebased cryptography pdf,0.4404,positive
"Telli (YC F24) is hiring in engineering, design, and GTM [Berlin, on-site]",1,0,1780210850,2026-05-31 07:00:50,telli yc f is hiring in engineering design and gtm berlin onsite,0.0,neutral
"One year of Roto, a compiled scripting language for Rust",106,26,1780063679,2026-05-29 14:07:59,one year of roto a compiled scripting language for rust,0.0,neutral
Avian Visitors,110,12,1780208039,2026-05-31 06:13:59,avian visitors,0.0,neutral
Show HN: Breathe CLI – Paced resonance breathing in the macOS terminal,108,31,1780173053,2026-05-30 20:30:53,show hn breathe cli paced resonance breathing in the macos terminal,0.0,neutral
Domain expertise has always been the real moat,796,499,1780173657,2026-05-30 20:40:57,domain expertise has always been the real moat,0.0,neutral
A pictorial introduction to differential geometry (2017),113,4,1780205418,2026-05-31 05:30:18,a pictorial introduction to differential geometry,0.0,neutral
Inkstravaganza,26,4,1779976832,2026-05-28 14:00:32,inkstravaganza,0.0,neutral
Racket v9.2,222,27,1779961360,2026-05-28 09:42:40,racket v,0.0,neutral
Mechanical Pencil: An illustrated celebration of the engineering around us,163,22,1780187112,2026-05-31 00:25:12,mechanical pencil an illustrated celebration of the engineering around us,0.0,neutral
SICP Video Lectures (1986),66,3,1780228241,2026-05-31 11:50:41,sicp video lectures,0.0,neutral
Associative learning turns DEET from aversive to appetitive in Aedes aegypti,68,38,1779995519,2026-05-28 19:11:59,associative learning turns deet from aversive to appetitive in aedes aegypti,-0.3818,negative
Creatine for the Treatment of Depression (2019),10,0,1780251816,2026-05-31 18:23:36,creatine for the treatment of depression,-0.5423,negative
Microsoft Office 2019 and 2021 for Mac view-only conversion,970,358,1780183573,2026-05-30 23:26:13,microsoft office and for mac viewonly conversion,0.0,neutral
The solution might be cancelling my AI subscription,314,219,1780237410,2026-05-31 14:23:30,the solution might be cancelling my ai subscription,0.128,positive
"Show HN: Ouijit, an open-source task and terminal manager for coding agents",5,0,1780244946,2026-05-31 16:29:06,show hn ouijit an opensource task and terminal manager for coding agents,0.0,neutral
Thornton Wilder's Last Play Vanished into Thin Air. Or Did It?,10,4,1779908192,2026-05-27 18:56:32,thornton wilders last play vanished into thin air or did it,0.34,positive
Shantell Sans (2023),377,44,1780178798,2026-05-30 22:06:38,shantell sans,0.0,neutral
The AV2 Video Standard Has Released (Final v1.0 Specification),332,144,1780177578,2026-05-30 21:46:18,the av video standard has released final v specification,0.0,neutral
Parallel Reconstruction of Lawful TLS Wiretapping,121,63,1780170456,2026-05-30 19:47:36,parallel reconstruction of lawful tls wiretapping,0.0,neutral
Cheese Paper: a text editor specifically designed for writing,137,38,1780181921,2026-05-30 22:58:41,cheese paper a text editor specifically designed for writing,0.0,neutral
Show HN: xxUTF – SIMD Unicode Normalization,6,1,1780243575,2026-05-31 16:06:15,show hn xxutf simd unicode normalization,0.0,neutral
